year_month,year,month,weekend,is_cbd_segment,weight_distance,weight_travel_time,bus_trip_count,road_distance,avg_speed_mph
2025-02,2025,2,1,True,75405.037,11513.1637905,78790,7335.657,6.549462716948393
2025-03,2025,3,0,False,504965.87299999996,80461.3049694,497325,28982.354,6.275884702491988
2025-03,2025,3,0,True,328906.061,55318.7499062,339738,21381.409,5.945652451613642
2025-03,2025,3,1,False,196821.898,27693.3191345,185308,12203.626,7.107197842341753
2025-03,2025,3,1,True,120107.465,18087.1002367,123464,9194.133,6.640504195155257
2025-04,2025,4,0,False,533495.855,85854.43506250001,525744,27249.248,6.213958016398658
2025-04,2025,4,0,True,347681.858,58921.2475232,359977,19451.844,5.90078914848335
2025-04,2025,4,1,False,154554.138,21733.1665196,147714,10194.997,7.111441301506422
2025-04,2025,4,1,True,95796.329,14711.2438539,98269,7310.454,6.511776295150193
2025-05,2025,5,1,True,104075.697,16314.3283175,107156,7322.163,6.379404347794106
2025-05,2025,5,1,False,165500.193,23793.1847234,158966,10192.963,6.955781452712999
2025-05,2025,5,0,False,515112.501,83922.9121236,508823,27699.902000000002,6.137924530566247
2025-05,2025,5,0,True,337549.481,58194.0264073,349406,19629.51,5.800414610212587
2025-06,2025,6,0,False,496641.368,79984.6713053,489402,27635.736,6.209206837949352
2025-06,2025,6,0,True,325973.717,55991.4324749,337056,19626.803,5.82184992581014
2025-06,2025,6,1,False,164864.09100000001,23394.7227995,157239,10555.496,7.047063237847962
2025-06,2025,6,1,True,99793.788,15405.4928725,102383,7477.571,6.477805599984383
2025-07,2025,7,1,True,96359.144,14636.6049012,99181,7302.46,6.583435479091184
2025-07,2025,7,1,False,154314.288,21513.1210425,146604,10176.886,7.173031179211337
2025-07,2025,7,0,False,549964.724,86344.9182399,538570,27693.966,6.369393071541079
2025-07,2025,7,0,True,355217.097,60517.9321716,367222,19632.069,5.869617223416916
2025-08,2025,8,0,False,505879.688,79074.522237,497383,27245.239999999998,6.3975054630591535
2025-08,2025,8,0,True,330363.474,55103.8458107,342210,19395.207,5.995288879380728
2025-08,2025,8,1,False,183168.606,25930.896709599998,175636,10487.332,7.063720474124148
2025-08,2025,8,1,True,116184.081,17861.8437975,119610,7490.165,6.504596183752401
2025-09,2025,9,1,False,149456.344,21533.182075099998,142979,10269.102,6.94074584419293
2025-09,2025,9,0,False,516246.786,82702.5933289,508405,27978.318,6.242207955280651
2025-09,2025,9,0,True,333926.33,59229.1464619,344651,19628.226,5.637871722747227
2025-09,2025,9,1,True,93470.591,14834.5236522,95932,7302.437,6.30088253532415
